template_code	retro_template	template_hash	classification	library_occurence	conditions
0	[c;H0;D3;+0:3]1:[cH;D2;+0:2]:[c;H0;D3;+0:1]:[nH;D2;+0:5]:[n;H0;D2;+0:4]:1>>[C;H0;D2;+0:1]#[CH;D1;+0:2].[CH;D2;+0:3]=[N+;H0;D2:4]=[N-;H0;D1:5]	000a6dc1f9d7c5862b24ea0752b1b72cdd9eecb9d47e6e84fa6ca2e018899d4d	0.0 Unrecognized	22	1
1	[c;H0;D3;+0:1]1:[c;H0;D3;+0:2]:[cH;D2;+0:3]:[c;H0;D3;+0:4]:[s;H0;D2;+0:5]:1>>Br-[c;H0;D3;+0:1]:[c;H0;D3;+0:2]-[CH;D2;+0:3]=O.[CH2;D2;+0:4]-[SH;D1;+0:5]	000f1b34eb6bd948e4d7af091174a20748ab45ebb031520cec38b5e90525e673	0.0 Unrecognized	22	1
2	[O;H0;D1;+0:2]=[c;H0;D3;+0:1]1:[c;H0;D3;+0:3]:[c;H0;D3;+0:4]:[n;H0;D2;+0:5]:[cH;D2;+0:6]:[nH;D2;+0:7]:1>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[NH2;D1;+0:5].N-[CH;D2;+0:6]=[NH;D1;+0:7]	000f6f0bda3312030e3e1b2c6ecf0c79a8ebad2717679edb3e2d8877bd94232a	0.0 Unrecognized	74	1
3	[S;H0;D1;+0:7]=[c;H0;D3;+0:5]1:[n;H0;D3;+0:6]:[c;H0;D3;+0:1](-[c;H0;D3;+0:2]):[n;H0;D2;+0:3]:[n;H0;D3;+0:4]:1>>O=[C;H0;D3;+0:1](-[c;H0;D3;+0:2])-[NH;D2;+0:3]-[N;H0;D3;+0:4]-[C;H0;D3;+0:5](-[NH;D2;+0:6])=[S;H0;D1;+0:7]	00209a64b6295a03bdd4a797647c9c15492a072dd07e76f2c7369198df65fa42	0.0 Unrecognized	9	1
4	[c;H0;D3;+0:4]1:[c;H0;D3;+0:5]:[c;H0;D3;+0:6]:[n;H0;D2;+0:1]:[cH;D2;+0:2]:[cH;D2;+0:3]:1>>C-[N;H0;D3;+0:1](-C)-[CH;D2;+0:2]=[CH;D2;+0:3]-[c;H0;D3;+0:4]:[c;H0;D3;+0:5]-[C;H0;D3;+0:6]=O	00365f21e66c71d118560dc112ae5c5e77bbca3c27feb90942f26d653c837135	0.0 Unrecognized	7	1
5	[c;H0;D3;+0:3]1:[c;H0;D3;+0:2]:[c;H0;D3;+0:1]:[nH;D2;+0:5]:[n;H0;D2;+0:4]:1>>Cl-[c;H0;D3;+0:1]:[c;H0;D3;+0:2]-[C;H0;D3;+0:3]=[N;H0;D2;+0:4]-[NH2;D1;+0:5]	0038e95aeba40d477edbd0d50acff32a3e8fe827aaca0012d24b45cc6d05e293	0.0 Unrecognized	14	1
6	[O;H0;D1;+0:7]=[c;H0;D3;+0:5]1:[c;H0;D3;+0:4]:[c;H0;D3;+0:3]:[cH;D2;+0:2]:[cH;D2;+0:1]:[nH;D2;+0:6]:1>>C-O-[CH;D3;+0:1](-O-C)-N(-C)-C.[CH3;D1;+0:2]-[c;H0;D3;+0:3]:[c;H0;D3;+0:4]-[C;H0;D3;+0:5](-[NH2;D1;+0:6])=[O;H0;D1;+0:7]	00424a5703dce04dcb257927c5a54112d22ca26421cd3ecb8d3e9aef2e052fa5	0.0 Unrecognized	8	1
7	[c;H0;D3;+0:4]-[c;H0;D3;+0:3]1:[cH;D2;+0:2]:[cH;D2;+0:1]:[n;H0;D2;+0:5]:[n;H0;D3;+0:6]:1-[c;H0;D3;+0:7]>>C-C-O-[CH;D3;+0:1](-O-C-C)-[C;H0;D2;+0:2]#[C;H0;D2;+0:3]-[c;H0;D3;+0:4].[NH2;D1;+0:5]-[NH;D2;+0:6]-[c;H0;D3;+0:7]	005215486cb960ff24c0f8cc39c046d8580d7fff4056f5e0b1e8910dcab138b8	0.0 Unrecognized	7	1
8	[NH2;D1;+0:4]-[c;H0;D3;+0:5]1:[n;H0;D2;+0:6]:[c;H0;D3;+0:3]:[c;H0;D3;+0:1](-[c;H0;D3;+0:2]):[s;H0;D2;+0:7]:1>>Br-[CH;D3;+0:1](-[c;H0;D3;+0:2])-[C;H0;D3;+0:3]=O.[NH2;D1;+0:4]-[C;H0;D3;+0:5](-[NH2;D1;+0:6])=[S;H0;D1;+0:7]	005353fccb69cfa3a767820d843db5700d0715b2cf744a480b6a9db91269e4f1	0.0 Unrecognized	15	1
9	[c;H0;D3;+0:1]1:[cH;D2;+0:2]:[c;H0;D3;+0:3]:[nH;D2;+0:5]:[n;H0;D2;+0:4]:1>>O=[C;H0;D3;+0:1]-[C;H0;D2;+0:2]#[C;H0;D2;+0:3].[NH2;D1;+0:4]-[NH2;D1;+0:5]	0067da0c9596e8447e2bc06a1ca124d0bb6a47eeddc0fc1007240d485fff9572	0.0 Unrecognized	11	1
10	[CH2;D2;+0:3]1-[CH2;D2;+0:4]-[O;H0;D2;+0:5]-[CH;D3;+0:1]-[N;H0;D3;+0:2]-1>>O=[CH;D2;+0:1].[NH;D2;+0:2]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[OH;D1;+0:5]	006cc1e604a78572ed320bb0c44b9ef62c6df790f3d5b13ef87bf54471c8eb56	0.0 Unrecognized	10	1
11	[C@@H;D3;+0:3]1-[C@H;D3;+0:4]-[O;H0;D2;+0:5]-[CH;D3;+0:1]-[N;H0;D3;+0:2]-1>>O=[CH;D2;+0:1].[NH;D2;+0:2]-[C@@H;D3;+0:3]-[C@H;D3;+0:4]-[OH;D1;+0:5]	006e347bfee6f49aa61f2cf505c71f8ebbba739db9b1834eb9ba39ee743b443d	0.0 Unrecognized	10	1
12	[NH2;D1;+0:8]-[c;H0;D3;+0:7]1:[c;H0;D3;+0:6]:[c;H0;D3;+0:1](-[c;H0;D3;+0:2]):[c;H0;D3;+0:3](-[c;H0;D3;+0:5]):[o;H0;D2;+0:4]:1>>O=[C;H0;D3;+0:1](-[c;H0;D3;+0:2])-[CH;D3;+0:3](-[OH;D1;+0:4])-[c;H0;D3;+0:5].[CH2;D2;+0:6]-[C;H0;D2;+0:7]#[N;H0;D1;+0:8]	008190668dced0246983abc42847215aca61c7a5e73d4febb84679bcda6ca1d1	0.0 Unrecognized	17	1
13	[O;H0;D1;+0:2]=[C;H0;D3;+0:1]1-[NH;D2;+0:3]-[CH;D3;+0:4]-[CH2;D2;+0:5]-[O;H0;D2;+0:6]-1>>C-C(-C)(-C)-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[NH;D2;+0:3]-[CH;D3;+0:4]-[CH2;D2;+0:5]-[OH;D1;+0:6]	00856a857fda4dda44b51a366636e2419af0f060d4307ea435bd5c08ab4c0796	0.0 Unrecognized	28	1
14	[O;H0;D1;+0:2]=[c;H0;D3;+0:1]1:[n;H0;D3;+0:8]:[c;H0;D3;+0:7]:[c;H0;D3;+0:6]:[cH;D2;+0:5]:[c;H0;D3;+0:3]:1-[c;H0;D3;+0:4]>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[CH2;D2;+0:3]-[c;H0;D3;+0:4].O=[CH;D2;+0:5]-[c;H0;D3;+0:6]:[c;H0;D3;+0:7]-[NH;D2;+0:8]	008bc1b16c516582449c3861336abb846d354f443e280ae7337a707f52bc81bc	0.0 Unrecognized	29	1
15	[c;H0;D3;+0:4]1:[n;H0;D2;+0:3]:[n;H0;D2;+0:2]:[cH;D2;+0:1]:[n;H0;D3;+0:5]:1>>O-[CH;D2;+0:1]=O.[NH2;D1;+0:2]-[NH;D2;+0:3]-[c;H0;D3;+0:4]:[n;H0;D2;+0:5]	008d89a04745ae5c22627232969cc8551c97d594b0c02edc1c517277cf124217	0.0 Unrecognized	10	1
